Nissan DIESEL,$ 18 000,https://im.mashina.kg/tachka/images//3/7/a/37a45ab76fdde0a2f2b1674788b3080e_240x180.jpg,"1998 ж., дизель, руль солдо"
Sany STC,$ 32 000,https://im.mashina.kg/tachka/images//4/5/8/458ed67cc944bde5e5d306a77d5b2e83_240x180.jpg,"2006 ж., дизель, руль солдо, 2 658 км"
Ивановец КС-3577,$ 9 585,https://im.mashina.kg/tachka/images//1/8/0/180b9b7cdba452807d63c3b21e2d87eb_240x180.jpg,"1991 ж., дизель, руль солдо"
КамАЗ КамАЗ,$ 25 000,https://im.mashina.kg/tachka/images//e/7/a/e7a236a97138a580db263495b70c107d_240x180.jpg,"2004 ж., дизель, руль солдо, 300 000 км"
KATO SR,$ 30 000,https://im.mashina.kg/tachka/images//3/a/a/3aa0357f697750be29c339e689805cdb_240x180.jpg,"1996 ж., дизель, руль солдо"
Zoomlion QY25V,$ 55 000,https://im.mashina.kg/tachka/images//a/9/5/a9574b0eb92c11bc42cb5722962a385f_240x180.jpg,"2010 ж., дизель, руль солдо"
Zoomlion RT75,$ 58 000,https://im.mashina.kg/tachka/images//2/a/2/2a2e212478cd414313afbdfc2ba9dcc7_240x180.jpg,"2009 ж., дизель, руль солдо"
XCMG QY25K5,$ 70 000,https://im.mashina.kg/tachka/images//4/f/c/4fccdf4cfa36558e7248f09922720fa5_240x180.jpg,"2013 ж., дизель, руль солдо, 6 400 км"
XCMG QY25K5,$ 75 000,https://im.mashina.kg/tachka/images//8/7/0/8707d94e4670bea14d9d0ae428d58d47_240x180.jpg,"2011 ж., дизель, руль солдо, 2 555 км"
XCMG QY25K5,$ 67 000,https://im.mashina.kg/tachka/images//2/3/0/230d174b7562e67c43c017a0143b2423_240x180.jpg,"2012 ж., дизель, руль солдо"
Sany STC,$ 65 000,https://im.mashina.kg/tachka/images//c/1/2/c12bd12dd3977a6496ed147860a59fc7_240x180.jpg,"2012 ж., дизель, руль солдо"
Zoomlion QY25V,$ 45 000,https://im.mashina.kg/tachka/images//8/9/2/8928fc51e16646332d026b5397d62264_240x180.jpg,"2008 ж., дизель, руль солдо"
KATO SR,$ 25 000,https://im.mashina.kg/tachka/images//2/a/3/2a3c1bd6d2eaeb6c9e5f56cc70c165b9_240x180.jpg,"1993 ж., дизель, руль оңдо, 250 000 км"
КамАЗ КамАЗ,$ 32 000,https://im.mashina.kg/tachka/images//b/8/d/b8d7f1d264f70a4aba3e60391ca204ae_240x180.jpg,"2014 ж., дизель, руль солдо, 50 000 км"
Урал Подъемник,$ 2 500,https://im.mashina.kg/tachka/images//4/b/6/4b6c81660a3761c21283515b591f6854_240x180.jpg,"1990 ж., бензин / газ, руль солдо"
Zoomlion RT35,$ 45 000,https://im.mashina.kg/tachka/images//3/3/b/33bf68fe8a081aeb2ce64511644f194a_240x180.jpg,"2008 ж., дизель, руль солдо"
XCMG GY25SK2,$ 35 000,https://im.mashina.kg/tachka/images//1/d/9/1d991d6a462c41d4fae1b4adf33c0a89_240x180.jpg,"2006 ж., дизель, руль солдо"
MAN Автогидроподъемники,$ 42 000,https://im.mashina.kg/tachka/images//e/5/2/e52ec02d3d27da55a0b2c0d535056520_240x180.jpg,"1999 ж., дизель, руль солдо"
XCMG QY-70K,$ 87 000,https://im.mashina.kg/tachka/images//1/1/f/11f54f2f2d43055213f04f4595ad731d_240x180.jpg,"2012 ж., дизель, руль солдо, 32 000 км"
Sany STC,$ 70 000,https://im.mashina.kg/tachka/images//7/9/9/799c622fe91f90a4da905fec4b73b890_240x180.jpg,"2011 ж., дизель, руль солдо"
XCMG QY25K5,$ 115 000,https://im.mashina.kg/tachka/images//d/2/9/d298bff0db6c9429456c7f1f06e68c43_240x180.jpg,"2021 ж., дизель, руль солдо"
Nissan DIESEL,$ 35 000,https://im.mashina.kg/tachka/images//e/e/6/ee6a12657a3a506c2d3ebe3a5fd28f48_240x180.jpg,"1997 ж., дизель, руль солдо, 25 588 км"
Ивановец КС-35715,$ 27 000,https://im.mashina.kg/tachka/images//1/4/1/14190167c8a41b3bdaea80f4e3f73db2_240x180.jpg,"2004 ж., дизель, руль солдо, 25 825 км"
Zoomlion QY25V,$ 75 000,https://im.mashina.kg/tachka/images//c/a/e/caefbcbc57ad202f038a02c33a4e8650_240x180.jpg,"2012 ж., дизель, руль солдо, 2 500 км"
ЗИЛ ГЯ-133,$ 659,,"2022 ж., электр, руль солдо"
XCMG QY25K5,$ 68 000,https://im.mashina.kg/tachka/images//4/d/1/4d18cb56a8c9ad6115eb5a8d2898c059_240x180.jpg,"2014 ж., дизель, руль солдо, 80 000 км"
Челябинец КС,$ 30 000,https://im.mashina.kg/tachka/images//0/7/4/07495aecb6a217a518abace0c4621266_240x180.jpg,"2004 ж., дизель, руль солдо"
Zoomlion RT35,$ 100 000,https://im.mashina.kg/tachka/images//7/0/c/70c105ede38f710589d82d92bf2b002c_240x180.jpg,"2013 ж., дизель, руль солдо, 35 000 км"
KATO SR,$ 8 000,https://im.mashina.kg/tachka/images//7/5/1/751e724da3f4c67fce44dc28d481eb11_240x180.jpg,"2022 ж., бензин / газ, руль солдо"
CKD AD - Series,$ 90 000,,"2016 ж., дизель, руль солдо"
MAN Автогидроподъемники,$ 25 000,https://im.mashina.kg/tachka/images//1/e/3/1e3ca36d746374f2fcd80b1bb8644bf8_240x180.jpg,"1996 ж., дизель, руль солдо, 97 000 км"
Demag AC155,$ 15 000,https://im.mashina.kg/tachka/images//1/1/0/1102f0e713ff42fd44d57e564dd3f171_240x180.jpg,"2009 ж., дизель, руль солдо"
XCMG GY50,$ 95 000,https://im.mashina.kg/tachka/images//b/e/a/beafbaeec6a62c38faa36de8dfbe7348_240x180.jpg,"2014 ж., дизель, руль солдо"
Nissan DIESEL,$ 11 742,https://im.mashina.kg/tachka/images//e/8/2/e825b9b7c80057b0830f96ad189e4cc8_240x180.jpg,"1986 ж., дизель, руль солдо, 344 000 км"
Галичанин КС-4579,$ 14 378,https://im.mashina.kg/tachka/images//6/2/9/629933ffff547f59ab9da56d808b8c9b_240x180.jpg,"1995 ж., дизель, руль солдо"
Zoomlion QY25V,$ 60 000,https://im.mashina.kg/tachka/images//0/f/e/0febfba15c31e79b38363d6f64dc022a_240x180.jpg,"2012 ж., дизель, руль солдо, 25 000 км"
